"DrugName","DrugID_ChEMBL","DrugSMILES","TargetID_Entrez","TargetGeneSymbol_Entrez"
"(S)-nicardipine","","COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1",775,"CACNA1C"
"(S)-nicardipine","","COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1",776,"CACNA1D"
"(S)-nitrendipine","CHEMBL251230","CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC",775,"CACNA1C"
"(S)-nitrendipine","CHEMBL251230","CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC",776,"CACNA1D"
"(S)-nitrendipine","CHEMBL251230","CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC",778,"CACNA1F"
"(S)-nitrendipine","CHEMBL251230","CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC",3783,"KCNN4"
"Florbetapir F-18","CHEMBL1908919","CNC1=CC=C(\C=C\C2=CN=C(OCCOCCOCC[18F])C=C2)C=C1",351,"APP"
"abarelix","CHEMBL1252","CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O",2798,"GNRHR"
"abatacept","CHEMBL1201823","",942,"CD86"
"abatacept","CHEMBL1201823","",941,"CD80"
"abciximab","CHEMBL1201584","",3674,"ITGA2B"
"abciximab","CHEMBL1201584","",3690,"ITGB3"
"abiraterone acetate","CHEMBL254328","[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@]([H])(CC[C@]12C)OC(C)=O",1586,"CYP17A1"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2562,"GABRB3"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2554,"GABRA1"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2566,"GABRG2"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",116444,"GRIN3B"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2904,"GRIN2B"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2903,"GRIN2A"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2905,"GRIN2C"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",116443,"GRIN3A"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2906,"GRIN2D"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2902,"GRIN1"
"acarbose","CHEMBL1566","[H][C@]1(N[C@@H]2[C@@H](C)O[C@H](O[C@]3([H])[C@@H](CO)O[C@H](O[C@]4([H])[C@@H](CO)OC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)C=C(CO)[C@@H](O)[C@H](O)[C@H]1O",279,"AMY2A"
"acarbose","CHEMBL1566","[H][C@]1(N[C@@H]2[C@@H](C)O[C@H](O[C@]3([H])[C@@H](CO)O[C@H](O[C@]4([H])[C@@H](CO)OC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)C=C(CO)[C@@H](O)[C@H](O)[C@H]1O",278,"AMY1C"
