"DrugName","DrugID_ChEMBL","DrugSMILES","TargetID_Entrez","TargetGeneSymbol_Entrez"
"({[(3e)-2'-oxo-2',7'-dihydro-2,3'-biindol-3(7h)-ylidene]amino}oxy)acetic acid","","OC(=O)CO\N=C1/C2=CC=CCC2=N/C/1=C1\C(=O)N=C2CC=CC=C12",5837,"PYGM"
"(1'r,2's)-9-(2-hydroxy-3'-keto-cyclopenten-1-yl)adenine","","NC1=NC=NC2=C1N=CN2[C@@H]1C=C[C@H](O)[C@H]1O",191,"AHCY"
"(1-hydroxydodecane-1,1-diyl)bis(phosphonic acid)","CHEMBL416301","CCCCCCCCCCCC(O)(P(O)(O)=O)P(O)(O)=O",9453,"GGPS1"
"(1-hydroxyheptane-1,1-diyl)bis(phosphonic acid)","CHEMBL55264","CCCCCCC(O)(P(O)(O)=O)P(O)(O)=O",9453,"GGPS1"
"(1-hydroxynonane-1,1-diyl)bis(phosphonic acid)","CHEMBL110971","CCCCCCCCC(O)(P(O)(O)=O)P(O)(O)=O",9453,"GGPS1"
"(1-methyl-1h-imidazol-2-yl)-(3-methyl-4-{3-[(pyridin-3-ylmethyl)-amino]-propoxy}-benzofuran-2-yl)-methanone","CHEMBL355497","CN1C=CN=C1C(=O)C1=C(C)C2=C(O1)C=CC=C2OCCCNCC1=CN=CC=C1",4836,"NMT1"
"(1-tert-butyl-5-hydroxy-1h-pyrazol-4-yl)-(6-methanesulfonyl-4&#39;-methoxy-2-methyl-biphenyl-3-yl)-methanone","CHEMBL1230604","COC1=CC=C(C=C1)C1=C(C=CC(C(=O)C2=C(O)N(N=C2)C(C)(C)C)=C1C)S(C)(=O)=O",3242,"HPD"
"(10alpha,13alpha,14beta,17alpha)-17-hydroxyandrost-4-en-3-one","CHEMBL196228","[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C",1645,"AKR1C1"
"(10alpha,13alpha,14beta,17alpha)-17-hydroxyandrost-4-en-3-one","CHEMBL196228","[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C",1646,"AKR1C2"
"(10r)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8h-[1,4]diazepino[5&#39;,6&#39;:4,5]thieno[3,2-f]quinolin-8-one","CHEMBL1231206","[H][C@@]1(C)CNC2=C(SC3=C2C2=C(C=C3)N=C(C=C2)C2=CN=C(C)C=C2)C(=O)N1",9261,"MAPKAPK2"
"(11e)-octadec-11-enoic acid","CHEMBL1236642","CCCCCC\C=C/CCCCCCCCCC(O)=O",5467,"PPARD"
"(11s)-8-chloro-11-[1-(methylsulfonyl)piperidin-4-yl]-6-piperazin-1-yl-11h-benzo[5,6]cyclohepta[1,2-b]pyridine","CHEMBL372164","[H][C@]1(C2CCN(CC2)S(C)(=O)=O)C2=C(C=C(Cl)C=C2)C(=CC2=C1N=CC=C2)N1CCNCC1",100529261,"CHURC1-FNTB"
"(11s)-8-chloro-11-[1-(methylsulfonyl)piperidin-4-yl]-6-piperazin-1-yl-11h-benzo[5,6]cyclohepta[1,2-b]pyridine","CHEMBL372164","[H][C@]1(C2CCN(CC2)S(C)(=O)=O)C2=C(C=C(Cl)C=C2)C(=CC2=C1N=CC=C2)N1CCNCC1",2342,"FNTB"
