"DrugName","DrugID_ChEMBL","DrugSMILES","TargetID_Entrez","TargetGeneSymbol_Entrez"
"abarelix","CHEMBL1252","CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O",2798,"GNRHR"
"abatacept","CHEMBL1201823","",942,"CD86"
"abatacept","CHEMBL1201823","",941,"CD80"
"abciximab","CHEMBL1201584","",3674,"ITGA2B"
"abciximab","CHEMBL1201584","",3690,"ITGB3"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2562,"GABRB3"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2554,"GABRA1"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2566,"GABRG2"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",116444,"GRIN3B"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2904,"GRIN2B"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2903,"GRIN2A"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2905,"GRIN2C"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",116443,"GRIN3A"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2906,"GRIN2D"
"acamprosate","CHEMBL1201293","CC(=O)NCCCS(O)(=O)=O",2902,"GRIN1"
